KEY,MEANING,DESCRIPTION,Sheet,CCMS-rule
ADDPROPERTY,ADDITONAL PROPERTY,MEANS,ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INFER_B_4WP2_51A,Add. Prop.: SMOD collected?,Add. Prop.: SMOD collected?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INFER_B_4WP2_52A,Add. Property: SMOD?,Add. Property: SMOD?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INFER_C_20WP2_1A,Int.Result: Add. Property- Total landlord/housing association equity,Int.Result: Add. Property- Total landlord/housing association equity,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INFER_C_20WP2_2A,Int.Result: Add. Property- Total 3rd party equity (not ex-partner),Int.Result: Add. Property- Total 3rd party equity (not ex-partner),ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INFER_C_20WP2_3A,Int.Result: Add. Property- Interim Equity (97% current market value),Int.Result: Add. Property- Interim Equity (97% current market value),ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INFER_C_20WP2_5A,Int.Result: Add. Property- Net value of equity,Int.Result: Add. Property- Net value of equity,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_16A,Add. Property: Shared ownership?,Add. Property: Shared ownership?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_18A,"Add. Property: Owned with 3rd party, inc ex. partner?","Add. Property: Owned with 3rd party, inc ex. partner?",ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_24A,Add. Property: Subject to restraint (freezing) order?,Add. Property: Subject to restraint (freezing) order?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_25A,Add. Property: Subject to bankruptcy?,Add. Property: Subject to bankruptcy?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_26A,Add. Property: SMOD in other proceedings?,Add. Property: SMOD in other proceedings?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_27A,Add. Property: Subject to foreign exchange controls?,Add. Property: Subject to foreign exchange controls?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_28A,Add. Property: Subject to possession proceedings?,Add. Property: Subject to possession proceedings?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_29A,Add. Property: Repossessed?,Add. Property: Repossessed?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_32A,Add. Property: Client/Partner has a deferred interest?,Add. Property: Client/Partner has a deferred interest?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_B_4WP2_33A,Add. Property: Can deferred interest be released?,Add. Property: Can deferred interest be released?,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_C_4WP2_13A,Add. Property: Current market value,Add. Property: Current market value,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_C_4WP2_14A,Add. Property: Current value of any mortgage,Add. Property: Current value of any mortgage,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_D_4WP2_30A,Add. Property: Date of possession order,Add. Property: Date of possession order,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_D_4WP2_31A,Add. Property: Eviction date,Add. Property: Eviction date,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_N_4WP2_12A,Add. Property: Number of bedrooms,Add. Property: Number of bedrooms,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_N_4WP2_17A,Add. Property: % owned by landlord/housing association,Add. Property: % owned by landlord/housing association,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_N_4WP2_22A,Add. Property: % Client,Add. Property: % Client,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_N_4WP2_23A,Add. Property: % Partner,Add. Property: % Partner,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_10A,Add. Property: The post code,Add. Property: The post code,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_11A,Add. Property: Type of Property,Add. Property: Type of Property,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_15A,Add. Property: How it is used,Add. Property: How it is used,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_34A,Add. Property: Who holds financial interest,Add. Property: Who holds financial interest,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_5A,Add. Property: The 1st line of address,Add. Property: The 1st line of address,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_6A,Add. Property: The 2nd line of address,Add. Property: The 2nd line of address,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_7A,Add. Property: The town/city,Add. Property: The town/city,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_8A,Add. Property: The county,Add. Property: The county,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_INPUT_T_4WP2_9A,Add. Property: The country,Add. Property: The country,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_SMOD_1ADDRESS,additional property SMOD address line 1,additional property SMOD address line 1,OPA-EBS Output (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_SMOD_2ADDRESS,additional property SMOD address line 2,additional property SMOD address line 2,OPA-EBS Output (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_SMOD_3ADDRESS,additional property SMOD address line 3,additional property SMOD address line 3,OPA-EBS Output (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_SMOD_DESCRIPTION,additional property SMOD description,additional property SMOD description,OPA-EBS Output (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_SMOD_FLAG,Add. Property: SMOD within this application?,Add. Property: SMOD within this application?,OPA-EBS Output (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_SMOD_MORTGAGE,outstanding mortgage or loan secured on additional property (for SMOD),outstanding mortgage or loan secured on additional property (for SMOD),OPA-EBS Output (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_SMOD_TYPE,additional property SMOD type,additional property SMOD type,OPA-EBS Output (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDPROPERTY_SMOD_VALUATION,additional property SMOD valuation,additional property SMOD valuation,OPA-EBS Output (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDTHIRD,ADDITONAL PROPERTY: THIRD PARTY OWNERS,MEANS,ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDTHIRD_INPUT_N_4WP2_19A,Add. Property: % owned by third party,Add. Property: % owned by third party,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDTHIRD_INPUT_T_4WP2_20A,Add. Property: Name of 3rd party,Add. Property: Name of 3rd party,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADDTHIRD_INPUT_T_4WP2_21A,Add. Property: Relationship to 3rd party,Add. Property: Relationship to 3rd party,ATTRIBUTES (MEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADR_INFO_COLLECTED,The Alternative Dispute Resolution Information Has Been Collected,The Alternative Dispute Resolution Information Has Been Collected,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADR_OUTCOME,Settle: The Outcome Of The Proposal For Alternative Dispute Resolution,Settle: The Outcome Of The Proposal For Alternative Dispute Resolution,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ADR_PROPOSED,Settle: The Client Has Proposed Any Form Of Alternative Dispute Resolution,Settle: The Client Has Proposed Any Form Of Alternative Dispute Resolution,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
AFTER_EVENT_INS_ATTEMPTED,AltFund: The Client Has Attempted To Obtain After The Event Insurance,AltFund: The Client Has Attempted To Obtain After The Event Insurance,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
AFTER_EVENT_INSURE_RESPONSE,AltFund: Response To The Attempt To Obtain After The Event Insurance Or Reason,AltFund: Response To The Attempt To Obtain After The Event Insurance Or Reason,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ALT_FUND_OTHER_PARTY,AltFund: The Identity Of The Party For The Alternative Funding,AltFund: The Identity Of The Party For The Alternative Funding,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ALT_FUNDING_ASSISTANCE,AltFund: The Assistance For The Alternative Funding Has Been Obtained,AltFund: The Assistance For The Alternative Funding Has Been Obtained,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ALT_FUNDING_DETAIL_COLLECTED,The Alternative Funding Details Have Been Collected,The Alternative Funding Details Have Been Collected,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ALT_FUNDING_DETAILS_COLLECTED,The Alternative Funding Entity Details Have Been Collected,The Alternative Funding Entity Details Have Been Collected,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ALTERATION_CLIENT,CLIENT HM EMPLOYMENT: KNOWN CHANGES,MEANS,ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ALTERATION_PARTNER,PARTNER HM EMPLOYMENT: KNOWN CHANGES,MEANS,ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
ALTERNATIVE_FUNDING,ALTERNATIVE FUNDING,MERITS,ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
AMD_CORR_OR_EVIDENCE,Evi: There Is Correspondence Evidence For The Amendment,Evi: There Is Correspondence Evidence For The Amendment,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
AMD_COURT_ORDER,Evi: There Is A Court Order For The Amendment,Evi: There Is A Court Order For The Amendment,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
AMD_EXISTING_COUNSEL_OPINION,Evi: Counsel's Opinion Will Be Submitted In Support Of The Amendment,Evi: Counsel's Opinion Will Be Submitted In Support Of The Amendment,ATTRIBUTES (MER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
